2024-04-23|11:22:22|yellow|Amazon|23.0
2024-05-01|08:30:45|laptop stand|BestBuy|-120.5
2024-05-15|12:15:00|coffee machine|Walmart|59.99
2024-05-20|14:00:35|office chair|IKEA|-85.0
2024-06-05|09:45:18|software license|Microsoft|-299.99
2024-06-12|10:10:10|desk lamp|Target|32.5
2024-06-25|16:40:50|water bottle|Amazon|-12.95
2024-07-01|11:11:11|subscription renewal|Netflix|-9.99
2024-07-14|13:25:35|notebook|Staples|15.75
2024-08-10|10:55:55|smartphone|Apple|-999.99
2024-08-15|08:00:00|headphones|Amazon|150.0
2024-09-20|17:05:22|gym membership|Planet Fitness|-30.0
2024-09-22|12:30:30|desk organizer|IKEA|19.99
2024-10-01|09:15:45|monitor|Dell|-199.99
2024-10-18|10:45:12|keyboard|BestBuy|75.5
2023-07-04|12:00:00|4th of July BBQ|Grocery Store|100.0
2023-07-15|15:00:00|birthday gift|BestBuy|200.0
2023-08-10|11:30:00|concert tickets|Ticketmaster|-150.0
2023-08-22|09:15:30|shoes|Nike|120.0
2023-09-05|13:25:45|fall clothes|Zara|-300.0
2023-09-21|10:30:30|office supplies|Staples|45.0
2023-10-10|14:55:00|Halloween decorations|Target|60.0
2023-11-05|12:30:30|black Friday deals|Amazon|-350.0
2023-12-15|10:10:10|Christmas tree|Home Depot|100.0
2023-12-20|18:00:00|New Year Party|Grocery Store|-70.0
2024-10-17|11:42:16|yellow hat|amazon |-32.0
2024-10-17|12:04:54|blue shirt|Ali Baba|12.0
2024-10-17|12:06:10|Rent|Building manager|-1200.0
2023-11-12|12:12:12|Gym membership|Blink fitness|-10.0
